REQUEST_ID,CREATED_ON,REQUEST_TYPE,REQUEST_ORIGIN,STATUS,DEPARTMENT,NEIGHBORHOOD,COUNCIL_DISTRICT,WARD,TRACT,PUBLIC_WORKS_DIVISION,PLI_DIVISION,POLICE_ZONE,FIRE_ZONE,X,Y,GEO_ACCURACY
293123,2018-10-03T17:01:00,Early Trash Set Out,Call Center,1,DPW - Refuse,Friendship,7,8,42003080700,2,8,5,23-Mar,-79.93485971,40.45953774,APPROXIMATE
293121,2018-10-03T17:00:00,Weeds/Debris,Call Center,1,"Permits, Licenses and Inspections",Homewood West,9,12,42003120700,2,12,5,18-Mar,-79.90185173,40.46303954,EXACT
293122,2018-10-03T17:00:00,Potholes,Call Center,1,DPW - Street Maintenance,Brighton Heights,1,27,42003270300,1,27,1,14-Jan,-80.0377983,40.478633,EXACT
293120,2018-10-03T16:59:00,Request New Sign,Call Center,3,DOMI - Traffic,Perry South,6,26,42003261400,1,26,1,12-Jan,-80.0096498,40.4686801,EXACT
293119,2018-10-03T16:58:00,City Source (CDBG),Call Center,0,"City Source Associates, Inc.",Larimer,9,12,42003120400,2,12,5,12-Mar,-79.91139583,40.46688303,APPROXIMATE
293118,2018-10-03T16:40:00,Parking Authority,Call Center,1,Parking Authority,South Side Flats,3,16,42003160900,3,16,3,24-Apr,-79.97377803,40.42754964,EXACT
293117,2018-10-03T16:39:00,Potholes,Call Center,1,DPW - Street Maintenance,Bloomfield,7,6,42003090300,2,6,2,6-Mar,-79.957961,40.4651835,EXACT
293116,2018-10-03T16:29:00,Potholes,Call Center,3,DPW - Street Maintenance,Swisshelm Park,5,14,42003141100,3,14,4,19-Feb,-79.8984729,40.4236596,EXACT
293115,2018-10-03T16:26:00,Potholes,Twitter,3,DPW - Street Maintenance,Mt. Oliver,3,16,42003561700,3,16,3,13-Apr,-79.978458,40.4062974,EXACT
293114,2018-10-03T16:26:00,Street Cleaning/Sweeping,Call Center,1,DPW - Street Maintenance,Banksville,2,20,42003202300,5,20,6,9-Apr,-80.0342757,40.4070579,EXACT
293113,2018-10-03T16:03:00,Potholes,Call Center,3,DPW - Street Maintenance,Central Business District,6,3,42003020100,6,3,2,4-Feb,-79.991486,40.440531,EXACT
293112,2018-10-03T16:02:00,Root prune ,Call Center,3,DPW - Forestry Division,Crafton Heights,2,28,42003281400,5,28,6,16-Jan,-80.0579379,40.44933104,APPROXIMATE
293111,2018-10-03T15:59:00,Litter,Call Center,1,DPW - Street Maintenance,Squirrel Hill South,5,14,42003140800,3,14,4,21-Feb,-79.9229614,40.4337339,EXACT
293109,2018-10-03T15:58:00,City Facility,Website,3,DPW - Facilities,Overbrook,4,32,42003320700,5,32,3,25-Apr,-79.9952644,40.3846843,EXACT
293110,2018-10-03T15:58:00,Utility Cut - Other,Call Center,1,DOMI - Permits,East Hills,9,13,42003130600,2,13,5,19-Mar,-79.869569,40.45125,EXACT
293108,2018-10-03T15:56:00,Hydrant - Fire Admin,Call Center,1,Fire Bureau,Shadyside,8,7,42003070900,2,7,4,22-Mar,-79.94286264,40.45214894,APPROXIMATE
293107,2018-10-03T15:54:00,Wires,Call Center,1,DOMI - Permits,Carrick,4,29,42003290400,3,29,3,23-Apr,-79.98773856,40.39038306,EXACT
293106,2018-10-03T15:54:00,Potholes,Call Center,3,DPW - Street Maintenance,Brookline,4,19,42003191800,5,19,6,26-Apr,-80.0224693,40.3903404,EXACT
293105,2018-10-03T15:54:00,Rodent control,Call Center,1,Animal Care & Control,Overbrook,4,32,42003320400,5,32,3,23-Apr,-79.99014843,40.38125917,APPROXIMATE
293104,2018-10-03T15:49:00,Wires,Website,1,DOMI - Permits,Carrick,4,29,42003290400,3,29,3,23-Apr,-79.9887916,40.3900762,EXACT
293103,2018-10-03T15:47:00,Abandoned Vehicle (parked on street),Call Center,1,Police - AVU,South Side Slopes,3,16,42003160800,3,16,3,22-Apr,-79.97591047,40.42075025,APPROXIMATE
293102,2018-10-03T15:46:00,Rodent control,Call Center,1,Animal Care & Control,Central Lawrenceville,7,9,42003090200,2,9,2,3-Mar,-79.96008456,40.46862646,APPROXIMATE
293101,2018-10-03T15:44:00,Overgrowth,Call Center,1,DPW - Street Maintenance,Perry North,1,26,42003260700,1,26,1,15-Jan,-80.01086976,40.4766418,EXACT
293100,2018-10-03T15:43:00,"City Steps, Need Cleared",Call Center,0,DPW - Street Maintenance,Perry South,1,26,42003260700,1,26,1,23-Jan,-80.0115241,40.4762375,EXACT
293099,2018-10-03T15:39:00,Tree Removal,Call Center,3,DPW - Forestry Division,Manchester,6,21,42003210700,1,21,1,8-Jan,-80.0272133,40.4567925,EXACT
